basket,year,id,group,columns,C,history,kind,inner_ap,inner_n,inner_positives
credit_bond_ETFs,2010,target_market/C=0.01,target_market,"[""target_volatility"", ""target_momentum""]",0.01,0,lr,0.21182266009852216,203,43
credit_bond_ETFs,2010,target_market/C=0.1,target_market,"[""target_volatility"", ""target_momentum""]",0.1,0,lr,0.21182266009852216,203,43
credit_bond_ETFs,2010,target_market/C=1.0,target_market,"[""target_volatility"", ""target_momentum""]",1.0,0,lr,0.21182266009852216,203,43
credit_bond_ETFs,2010,target_topology/C=0.01,target_topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.21182266009852216,203,43
credit_bond_ETFs,2010,target_topology/C=0.1,target_topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.21182266009852216,203,43
credit_bond_ETFs,2010,target_topology/C=1.0,target_topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.21182266009852216,203,43
credit_bond_ETFs,2010,target_combined/C=0.01,target_combined,"[""target_volatility"", ""target_momentum"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.21182266009852216,203,43
credit_bond_ETFs,2010,target_combined/C=0.1,target_combined,"[""target_volatility"", ""target_momentum"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.21182266009852216,203,43
credit_bond_ETFs,2010,target_combined/C=1.0,target_combined,"[""target_volatility"", ""target_momentum"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.21182266009852216,203,43
credit_bond_ETFs,2010,target_topology_xgb/C=2,target_topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,0.21182266009852216,203,43
